amfi_code,scheme_name,1yr_cagr,3yr_cagr,5yr_cagr,sharpe_ratio,sortino_ratio,sharpe_rank,beta,alpha,max_drawdown,drawdown_start_date,drawdown_trough_date,expense_ratio,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,final_rank
119093,Axis Bluechip Fund - Direct - Growth,0.19781538524100495,0.20811559826631898,0.07897557854375958,0.12961449795669325,0.22108683979276347,29.0,0.03678791587618444,0.08181167424626998,-0.21751396370148224,2022-02-24,2023-05-22,0.75,0.625,0.3,0.325,0.825,0.25,47.625,23.0
119094,Axis Midcap Fund - Regular - Growth,0.22277897154308546,0.35102527889035406,0.2821441719365203,0.9982309868636414,1.7037974802463003,11.0,-0.09036991034716636,0.2619525315796205,-0.20960883862039192,2022-04-14,2022-08-11,1.38,1.0,0.75,0.8,0.6,0.325,76.99999999999999,6.0
119095,Axis Small Cap Fund - Regular - Growth,-0.42819495166622135,-0.11703299329834216,0.015215045330823962,-0.07597357117478923,-0.12818559275851932,33.0,-0.06617326414580975,0.04831728608870167,-0.5167775370852656,2025-05-22,2026-05-11,1.38,0.025,0.2,0.1,0.6,0.05,17.25,38.0
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.05525880326360788,0.05838988442093762,0.05889418716346717,-0.22657538662791596,-0.3767670081706672,37.0,-0.006141238927642678,0.0562307510840002,-0.04328728923970093,2024-09-16,2025-04-01,0.77,0.225,0.1,0.175,0.8,0.9,33.75,31.0
119551,SBI Bluechip Fund - Regular Plan - Growth,0.6048929711840034,0.3044861306002782,0.25804686425584,1.2082665673727175,2.140267129061793,4.0,0.038592227855614926,0.22965606716852338,-0.1501238549864533,2023-08-24,2024-02-05,1.54,0.875,0.925,0.775,0.2625,0.6,74.81250000000001,7.0
119552,SBI Bluechip Fund - Direct Plan - Growth,0.057101178520777784,0.16263375081360643,0.21524235873769704,0.9532794968660103,1.609776489628308,12.0,0.013091022967163789,0.197414006140265,-0.11803493502764295,2024-05-21,2024-09-02,0.66,0.45,0.725,0.65,0.925,0.75,66.00000000000001,14.0
119598,SBI Small Cap Fund - Regular Plan - Growth,0.8285157468100046,0.2666309129954312,0.32423536152454613,0.9453082575156093,1.6753165700125516,14.0,-0.05235407645642015,0.30452411756151165,-0.2870600572176455,2024-08-28,2025-05-14,1.43,0.725,0.675,1.0,0.5,0.125,67.37499999999999,10.0
119599,SBI Small Cap Fund - Direct Plan - Growth,0.13957994357447734,-0.01337083602283895,0.02054484701809378,-0.05718662582817997,-0.09438726129459607,32.0,-1.1964690710962783e-05,0.05073229223869179,-0.5257422117012851,2023-01-17,2025-10-28,0.72,0.075,0.225,0.15,0.8875,0.025,24.4375,35.0
120503,ICICI Pru Bluechip Fund - Regular - Growth,0.08495135972254553,0.13974980348212673,0.18785325598262204,0.7979728586052847,1.3379431500669237,17.0,0.03036336153196146,0.1747105863250856,-0.13897862823061635,2023-09-19,2023-11-09,1.42,0.4,0.6,0.575,0.525,0.675,53.125,20.0
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.13073788394478303,0.32478927222623,0.2329511862010305,1.0265242847993004,1.8052937940992548,10.0,-0.021652280182275448,0.21322031459572383,-0.12588275606922517,2022-10-04,2023-05-30,0.8,0.95,0.775,0.7,0.725,0.725,80.0,5.0
120505,ICICI Pru Midcap Fund - Regular - Growth,0.29627681171526876,0.3176924285223732,0.3282740607461121,1.1801011976606495,2.0293529404657464,5.0,-0.048257564004649846,0.29437470086435774,-0.18188513572116294,2024-10-24,2025-01-23,1.36,0.9,0.9,0.95,0.65,0.4,82.25000000000001,2.0
120506,ICICI Pru Value Discovery Fund - Regular - Growth,0.4185299002066023,0.18417429266835228,0.1708486725575018,0.6488787755249532,1.0958951614736467,20.0,0.035341408267019064,0.16256649982302881,-0.1982565826298267,2023-03-31,2023-08-14,1.41,0.525,0.525,0.5,0.55,0.35,50.62500000000001,21.0
120507,ICICI Pru Liquid Fund - Regular - Growth,0.07430320855847317,0.07392538786263403,0.07237539728384412,0.4957233929533124,1.0521238822609293,23.0,0.0012810891385622405,0.0674027272913678,-0.0009773140045925555,2025-10-16,2025-10-20,0.74,0.3,0.45,0.25,0.85,1.0,48.0,22.0
120841,Kotak Bluechip Fund - Regular - Growth,0.1684955152939842,0.1726301444443794,0.1353221114899239,0.49427253786723496,0.8625738849916581,24.0,-0.02459418954478612,0.13242544028708422,-0.1757361416468729,2024-01-09,2025-02-14,1.59,0.475,0.425,0.425,0.15,0.425,39.875,28.0
120842,Kotak Emerging Equity Fund - Regular - Growth,0.22518986942465924,0.0775416750547262,0.06701543482038463,0.07599984804658917,0.12469346986475664,30.0,-0.04114692776608996,0.08006820308041106,-0.24003511326274884,2023-11-09,2024-10-17,1.56,0.325,0.275,0.3,0.2,0.2,27.625,34.0
120843,Kotak Flexicap Fund - Regular - Growth,0.2667758391882715,0.2957511058901836,0.3090745475400549,1.3067439695428407,2.364320032166718,2.0,0.02515221399448857,0.27170473124947175,-0.1297396816518679,2022-03-07,2022-04-13,1.45,0.85,0.975,0.875,0.475,0.7,81.5,3.0
120844,Kotak Liquid Fund - Regular - Growth,0.07125369741102916,0.06694394239074852,0.06915272985067156,-0.08874729621557331,-0.1877230477424232,34.0,-0.00021511616917975948,0.06455212099395287,-0.0011629327956168556,2024-04-12,2024-04-30,0.6,0.275,0.175,0.225,0.95,0.975,41.125,27.0
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.286975804558778,0.18429918008610047,0.19017795344711463,0.7757902498211207,1.3306512447571366,18.0,0.047530485438443584,0.17710360650699883,-0.15200013055606398,2023-12-22,2025-01-01,0.92,0.55,0.575,0.625,0.675,0.575,59.24999999999999,15.0
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.15455077019290386,0.11242518737374207,0.11301817123279978,0.3006119210425478,0.508812819716923,27.0,-0.020296592918995385,0.12089383648342154,-0.21117279560132118,2025-04-04,2025-09-12,0.78,0.375,0.35,0.375,0.775,0.3,42.125,26.0
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.2037595706234765,0.33991970400445304,0.3097410750185903,1.4482911703262595,2.385644373368818,1.0,0.0022092426652036276,0.27048736920711514,-0.11265729075028275,2023-07-11,2023-10-20,1.46,0.975,1.0,0.85,0.45,0.825,86.25,1.0
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.14279834500870736,0.14744434832760533,0.2251686900711385,0.9262873467360146,1.6327409778735162,15.0,0.004959589374063104,0.20774123978017286,-0.1527259422823477,2023-09-05,2024-01-24,1.52,0.425,0.65,0.675,0.3625,0.55,53.43750000000001,19.0
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.3978380253854239,0.2917135767741186,0.3194952310833252,1.2349300257743296,2.1469139263460555,3.0,0.05502172291505047,0.28129827385456513,-0.1639674294693263,2023-08-10,2023-10-20,1.6,0.825,0.95,0.925,0.1125,0.5,73.6875,8.0
149322,DSP Top 100 Equity Fund - Regular - Growth,0.1812461925339035,0.1803973982038829,0.13393275924001857,0.4640374492204777,0.7621288703723165,25.0,0.03472212145167003,0.13036829462611643,-0.14844576917771746,2022-01-03,2022-02-04,1.54,0.5,0.4,0.4,0.2625,0.625,43.1875,25.0
149323,DSP Midcap Fund - Regular - Growth,0.21497414349538224,0.26863103668817145,0.29581086910433996,1.1321218524747245,1.875101063919208,6.0,-0.012397751825588853,0.2663505378074944,-0.17248105753451382,2022-06-06,2022-10-24,1.61,0.75,0.875,0.825,0.075,0.475,66.75,11.0
149324,DSP Small Cap Fund - Regular - Growth,0.6519546577826334,0.2699350260734621,0.3228744045157361,0.9497958246616031,1.619793176491409,13.0,0.04895602736442,0.29918433081110407,-0.31171900300634214,2024-05-03,2025-01-03,1.52,0.775,0.7,0.975,0.3625,0.1,66.6875,12.0
